id,token,tag,wiki_id
0,Одним,O,
1,из,O,
2,самых,O,
3,точных,O,
4,и,O,
5,эффективных,O,
6,способов,B-TERM,
7,управления,I-TERM,
8,жестами,I-TERM,
9,является,O,
10,управление,B-TERM,Q29017603
11,активностью,I-TERM,
12,мышц,I-TERM,
13,",",O,
14,которое,O,
15,происходит,O,
16,при,O,
17,любом,O,
18,движении,O,
19,.,O,
20,Для,O,
21,регистрации,O,
22,подобной,O,
23,активности,O,
24,используется,O,
25,электромиография,B-TERM,Q507369
26,(,O,
27,ЭМГ,B-TERM,Q507369
28,),O,
29,.,O,
30,В,O,
31,данной,O,
32,статье,O,
33,сравниваются,O,
34,алгоритмы,B-TERM,Q1744627
35,классификации,I-TERM,
36,SVM,B-TERM,Q282453
37,",",O,
38,персептрон,B-TERM,Q690207
39,",",O,
40,метод,B-TERM,Q207522
41,плотностей,I-TERM,
42,вероятностей,I-TERM,
43,и,O,
44,метод,B-TERM,Q207522
45,плотностей,I-TERM,
46,вероятностей,I-TERM,
47,применительно,O,
48,к,O,
49,ЭМГ,B-TERM,
50,-,I-TERM,
51,сигналу,I-TERM,
52,.,O,
53,Для,O,
54,записи,O,
55,сигнала,O,
56,используется,O,
57,Arduino,B-TERM,
58,Leonardo,I-TERM,
59,с,O,
60,одноканальным,B-TERM,
61,Shield,I-TERM,
62,EMG,I-TERM,
63,.,O,
64,Цель,O,
65,работы,O,
66,—,O,
67,доказать,O,
68,возможность,O,
69,создания,O,
70,дешевого,O,
71,и,O,
72,доступного,O,
73,биоинтерфейса,B-TERM,
74,на,O,
75,основе,O,
76,сигнала,B-TERM,
77,ЭМГ,I-TERM,
78,.,O,
