id,token,tag
0,Статья,
1,посвящена,
2,современным,
3,проблемам,
4,изучения,
5,соматизмов,B-TERM
6,как,
7,отдельного,
8,класса,
9,фразеологических,B-TERM
10,единиц,I-TERM
11,(,
12,ФЕ,B-TERM
13,),
14,.,
15,Представлены,
16,результаты,
17,исследования,B-TERM
18,соматических,B-TERM
19,ФЕ,I-TERM
20,с,
21,основообразующим,B-TERM
22,компонентом,I-TERM
23,«,
24,Arm,
25,»,
26,",",
27,рассматриваются,
28,вопросы,
29,о,
30,функциональном,B-TERM
31,содержании,I-TERM
32,и,
33,частотности,B-TERM
34,употребления,I-TERM
35,соматизма,B-TERM
36,в,
37,современном,
38,немецком,
39,языке,
40,.,
